amount,origin_country,destination_country,transaction_type,time_of_day,customer_age,account_age_days,num_prev_flags,is_high_risk_country,label
2346.34,Iran,India,withdrawal,Afternoon (12–18),63,1234,1,True,1
15050.61,Iran,Russia,deposit,Morning (6–12),20,1778,0,True,1
6583.73,Germany,Russia,deposit,Night (22–6),46,158,0,False,1
4564.71,Iran,Germany,transfer,Night (22–6),42,1296,2,True,1
848.12,India,Iran,withdrawal,Morning (6–12),38,1983,1,False,0
847.98,Iran,USA,transfer,Morning (6–12),29,1225,0,True,1
299.19,India,Iran,deposit,Evening (18–22),71,1556,0,False,0
10056.15,Iran,Russia,transfer,Afternoon (12–18),18,1533,0,True,1
4595.41,India,India,deposit,Night (22–6),18,906,1,False,1
6156.25,Iran,USA,withdrawal,Night (22–6),62,299,0,True,1
104.0,Iran,USA,transfer,Afternoon (12–18),63,1474,1,True,1
17517.79,Russia,India,transfer,Night (22–6),65,192,0,True,1
8932.15,India,USA,transfer,Night (22–6),24,984,1,False,1
1193.44,India,India,transfer,Morning (6–12),27,53,0,False,0
1003.39,India,USA,withdrawal,Night (22–6),32,526,0,False,1
1013.06,USA,Iran,deposit,Night (22–6),57,222,0,False,1
1813.77,Iran,USA,deposit,Night (22–6),28,907,1,True,1
3719.64,India,Germany,withdrawal,Afternoon (12–18),73,419,0,False,0
2827.69,USA,India,deposit,Evening (18–22),63,526,0,False,0
1721.11,Russia,USA,transfer,Morning (6–12),62,993,1,True,1
4731.85,India,India,withdrawal,Evening (18–22),40,835,0,False,0
751.17,India,Germany,deposit,Night (22–6),30,158,2,False,1
1727.58,USA,USA,withdrawal,Night (22–6),44,1050,0,False,1
2281.39,Iran,USA,withdrawal,Night (22–6),58,582,0,True,1
3044.67,Russia,Germany,deposit,Evening (18–22),34,1596,0,True,1
7689.68,India,Germany,deposit,Afternoon (12–18),67,1089,1,False,0
1113.68,Iran,Germany,withdrawal,Afternoon (12–18),78,1510,0,True,1
3610.15,Russia,India,withdrawal,Morning (6–12),68,390,0,True,1
4487.52,Germany,Germany,deposit,Evening (18–22),30,794,1,False,0
237.82,Germany,India,withdrawal,Afternoon (12–18),29,1930,0,False,0
4676.67,Russia,Iran,deposit,Morning (6–12),46,1268,1,True,1
934.81,USA,USA,withdrawal,Night (22–6),38,316,0,False,1
336.32,Russia,USA,withdrawal,Night (22–6),37,797,0,True,1
14868.44,Russia,Russia,withdrawal,Morning (6–12),37,954,0,True,1
16853.15,USA,Iran,deposit,Afternoon (12–18),48,398,0,False,1
8261.66,USA,Germany,transfer,Evening (18–22),25,1522,0,False,0
1816.44,Iran,Germany,deposit,Morning (6–12),41,928,0,True,1
513.89,Iran,Iran,withdrawal,Afternoon (12–18),28,1239,0,True,1
5763.75,USA,Germany,transfer,Morning (6–12),56,1527,0,False,0
2900.45,Germany,Russia,transfer,Afternoon (12–18),50,1114,0,False,0
650.76,Germany,India,withdrawal,Night (22–6),59,291,0,False,1
3417.74,Russia,USA,deposit,Morning (6–12),32,817,0,True,1
174.97,India,Iran,transfer,Evening (18–22),21,140,1,False,0
12002.11,Russia,USA,transfer,Morning (6–12),18,1882,0,True,1
1497.29,Russia,India,deposit,Night (22–6),49,971,1,True,1
5431.28,India,Iran,deposit,Night (22–6),28,170,1,False,1
1867.73,USA,India,transfer,Afternoon (12–18),47,774,1,False,0
3670.55,Germany,Germany,deposit,Night (22–6),54,564,0,False,1
3956.12,Russia,Germany,transfer,Afternoon (12–18),36,108,1,True,1
1021.94,India,Germany,withdrawal,Night (22–6),68,1547,0,False,1
17464.04,Iran,India,deposit,Afternoon (12–18),53,1084,1,True,1
7461.23,Russia,India,transfer,Evening (18–22),51,1569,1,True,1
14025.47,Germany,India,deposit,Afternoon (12–18),24,538,0,False,1
11260.76,USA,USA,deposit,Afternoon (12–18),77,1000,0,False,1
4555.27,Russia,India,transfer,Evening (18–22),62,1683,1,True,1
12747.18,Russia,Germany,withdrawal,Afternoon (12–18),37,95,0,True,1
463.28,India,Russia,transfer,Afternoon (12–18),70,1563,0,False,0
1090.67,Iran,India,deposit,Evening (18–22),29,1965,1,True,1
231.41,Iran,Russia,transfer,Night (22–6),79,1424,1,True,1
1967.66,USA,Germany,deposit,Morning (6–12),49,316,0,False,0
2460.65,Germany,India,transfer,Afternoon (12–18),19,1229,0,False,0
1582.8,USA,USA,withdrawal,Night (22–6),39,152,1,False,1
8822.79,Russia,USA,withdrawal,Morning (6–12),58,1284,0,True,1
2206.13,Russia,Russia,withdrawal,Evening (18–22),65,584,1,True,1
1649.01,Iran,USA,withdrawal,Afternoon (12–18),57,1033,1,True,1
3912.04,Germany,USA,transfer,Afternoon (12–18),41,33,0,False,0
759.49,India,USA,withdrawal,Evening (18–22),67,1755,0,False,0
8102.42,Germany,Germany,transfer,Afternoon (12–18),48,1869,0,False,0
387.38,Russia,USA,deposit,Morning (6–12),21,441,1,True,1
21670.73,India,Iran,deposit,Morning (6–12),41,279,0,False,1
7397.42,Germany,India,deposit,Evening (18–22),60,1709,1,False,0
1107.7,Germany,USA,withdrawal,Afternoon (12–18),34,1540,0,False,0
27.69,India,USA,withdrawal,Night (22–6),57,1398,1,False,1
8449.48,Russia,USA,withdrawal,Afternoon (12–18),36,1947,0,True,1
6135.48,Germany,Iran,deposit,Evening (18–22),57,1386,1,False,0
6528.31,India,USA,deposit,Night (22–6),55,482,1,False,1
7376.07,Russia,USA,deposit,Morning (6–12),72,187,0,True,1
384.65,India,India,deposit,Morning (6–12),51,1630,0,False,0
2219.46,India,Iran,transfer,Night (22–6),64,866,1,False,1
615.75,Germany,Iran,transfer,Night (22–6),50,1043,0,False,1
9942.65,Russia,USA,withdrawal,Evening (18–22),23,1323,0,True,1
4881.51,Germany,Iran,withdrawal,Afternoon (12–18),77,1640,1,False,0
2009.09,USA,Russia,deposit,Morning (6–12),68,1471,0,False,0
328.34,USA,Iran,transfer,Afternoon (12–18),53,1493,0,False,0
1862.44,Russia,Iran,transfer,Morning (6–12),30,1082,0,True,1
1966.57,India,Iran,withdrawal,Afternoon (12–18),64,1007,1,False,0
6539.38,Germany,Germany,transfer,Morning (6–12),26,364,0,False,0
5074.45,Germany,Germany,withdrawal,Afternoon (12–18),52,1291,1,False,0
10911.26,Russia,Germany,deposit,Evening (18–22),51,182,0,True,1
3195.33,Russia,Iran,deposit,Morning (6–12),33,1659,0,True,1
636.86,USA,Russia,withdrawal,Evening (18–22),35,778,1,False,0
6245.63,Iran,Iran,deposit,Morning (6–12),35,863,0,True,1
7151.96,Russia,USA,deposit,Morning (6–12),55,1168,0,True,1
4119.44,Iran,Russia,transfer,Morning (6–12),67,837,1,True,1
7369.45,Russia,Germany,transfer,Afternoon (12–18),60,1784,1,True,1
3404.07,India,India,transfer,Morning (6–12),49,787,1,False,0
3698.39,India,Russia,transfer,Evening (18–22),24,1452,0,False,0
2789.07,USA,Germany,transfer,Afternoon (12–18),40,1085,0,False,0
128.74,USA,Russia,withdrawal,Afternoon (12–18),40,561,0,False,0
570.84,Iran,Russia,withdrawal,Morning (6–12),63,82,1,True,1
