Time,Amount,Location,Source,Destination
2023-10-01 02:15:00,150000.00,New York,CUST001,CUST847
2023-10-01 14:30:00,5000.00,Chicago,CUST002,CUST003
2023-10-01 23:45:00,98000.00,Miami,CUST004,CUST005
2023-10-02 05:10:00,250000.00,Dubai,CUST006,CUST847
2023-10-02 11:00:00,120000.00,Los Angeles,CUST007,CUST008
2023-10-02 18:30:00,4500.00,Boston,CUST009,CUST010
2023-10-03 03:00:00,175000.00,New York,CUST001,CUST011
2023-10-03 09:15:00,30000.00,Seattle,CUST012,CUST013
2023-10-03 22:00:00,99000.00,Miami,CUST014,CUST015
2023-10-04 01:45:00,200000.00,Dubai,CUST016,CUST847
2023-10-04 13:00:00,75000.00,Chicago,CUST017,CUST018
2023-10-04 20:30:00,110000.00,New York,CUST019,CUST847
2023-10-05 04:00:00,500000.00,Miami,CUST020,CUST021
2023-10-05 10:30:00,6000.00,Boston,CUST022,CUST023
2023-10-05 16:45:00,85000.00,Los Angeles,CUST024,CUST025
2023-10-06 02:30:00,130000.00,Dubai,CUST026,CUST847
2023-10-06 08:00:00,40000.00,Seattle,CUST027,CUST028
2023-10-06 19:00:00,95000.00,Chicago,CUST029,CUST030
2023-10-07 06:15:00,160000.00,New York,CUST001,CUST847
2023-10-07 21:45:00,72000.00,Miami,CUST031,CUST032
